topic_problem_number,topic,title,difficulty,leetcode_url,gfg_url,solved
1,"Arrays","Two Sum","Easy","https://leetcode.com/problems/two-sum/","https://www.geeksforgeeks.org/problems/key-pair5616/0",false
2,"Arrays","Best Time to Buy and Sell Stock","Easy","https://leetcode.com/problems/best-time-to-buy-and-sell-stock/","https://www.geeksforgeeks.org/problems/stock-buy-and-sell-1587115621/0",false
3,"Arrays","Contains Duplicate","Easy","https://leetcode.com/problems/contains-duplicate/","https://www.geeksforgeeks.org/problems/check-if-array-contains-duplicates/0",false
4,"Arrays","Maximum Subarray","Medium","https://leetcode.com/problems/maximum-subarray/","https://www.geeksforgeeks.org/problems/kadanes-algorithm-1587115620/1",false
5,"Arrays","Move Zeroes","Easy","https://leetcode.com/problems/move-zeroes/","https://www.geeksforgeeks.org/problems/move-all-zeroes-to-end-of-array0751/1",false
6,"Arrays","Remove Duplicates from Sorted Array","Easy","https://leetcode.com/problems/remove-duplicates-from-sorted-array/","https://www.geeksforgeeks.org/problems/remove-duplicate-elements-from-sorted-array/0",false
7,"Arrays","Rotate Array","Medium","https://leetcode.com/problems/rotate-array/","https://www.geeksforgeeks.org/problems/rotate-array-by-n-elements-1587115621/1",false
8,"Arrays","Merge Sorted Array","Easy","https://leetcode.com/problems/merge-sorted-array/","https://www.geeksforgeeks.org/problems/merge-two-sorted-arrays-1587115620/1",false
9,"Arrays","Majority Element","Easy","https://leetcode.com/problems/majority-element/","https://www.geeksforgeeks.org/problems/majority-element-1587115620/1",false
10,"Arrays","Missing Number","Easy","https://leetcode.com/problems/missing-number/","https://www.geeksforgeeks.org/problems/missing-number-in-array1416/1",false
11,"Arrays","Single Number","Easy","https://leetcode.com/problems/single-number/","https://www.geeksforgeeks.org/problems/find-the-element-that-appears-once-in-every-other-element-appears-twice/1",false
12,"Arrays","Product of Array Except Self","Medium","https://leetcode.com/problems/product-of-array-except-self/","https://www.geeksforgeeks.org/problems/product-array-puzzle4525/1",false
13,"Arrays","Maximum Product Subarray","Medium","https://leetcode.com/problems/maximum-product-subarray/","https://www.geeksforgeeks.org/problems/maximum-product-subarray3604/1",false
14,"Arrays","Find the Duplicate Number","Medium","https://leetcode.com/problems/find-the-duplicate-number/","https://www.geeksforgeeks.org/problems/find-duplicate-in-an-array/1",false
15,"Arrays","Subarray Sum Equals K","Medium","https://leetcode.com/problems/subarray-sum-equals-k/","https://www.geeksforgeeks.org/problems/subarrays-with-sum-k/1",false
16,"Arrays","Longest Consecutive Sequence","Medium","https://leetcode.com/problems/longest-consecutive-sequence/","https://www.geeksforgeeks.org/problems/longest-consecutive-subsequence2449/1",false
17,"Arrays","Set Matrix Zeroes","Medium","https://leetcode.com/problems/set-matrix-zeroes/","https://www.geeksforgeeks.org/problems/set-matrix-zeroes/1",false
18,"Arrays","Spiral Matrix","Medium","https://leetcode.com/problems/spiral-matrix/","https://www.geeksforgeeks.org/problems/spirally-traversing-a-matrix-1587115621/0",false
